"Country_iso","Country","Industry_specific","Year","GVA_total","Currency_iso","Country_short","GDP_change_relative","GDP_change_rel_mean","GDP_total","GDP_perc_norm","GDP_perc_norm_mean","GDP_annual_mean","GVA_total_mean","GVA_total_allyears","Industry_simple"
"AUT","Austria","Fishing and aquaculture",1995,5.54,"EUR","Austria",NA,15.7626693631282,158820.63,0.00348821182739295,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",1997,6.37,"EUR","Austria",14.9819494584838,15.7626693631282,168102.79,0.00378934817203212,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",1999,6.17,"EUR","Austria",-3.13971742543171,15.7626693631282,181186.53,0.003405330407288,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2001,5.94,"EUR","Austria",-3.72771474878443,15.7626693631282,197076.6,0.00301405646332441,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2003,5.86,"EUR","Austria",-1.34680134680135,15.7626693631282,207247.67,0.00282753480413073,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2005,7.12,"EUR","Austria",21.5017064846416,15.7626693631282,225888.12,0.00315200285876035,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2007,9.98,"EUR","Austria",40.1685393258427,15.7626693631282,253604.66,0.00393525891834953,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2009,12.37,"EUR","Austria",23.9478957915832,15.7626693631282,256670.97,0.00481939971629826,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2011,16.24,"EUR","Austria",31.285367825384,15.7626693631282,276404,0.00587545766342021,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2013,22.19,"EUR","Austria",36.6379310344828,15.7626693631282,288624.22,0.00768819747698236,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2015,22.7,"EUR","Austria",2.29833258224425,15.7626693631282,307037.68,0.00739322939125908,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2017,27.3,"EUR","Austria",20.2643171806167,15.7626693631282,329416.81,0.0082873730700021,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2019,33.85,"EUR","Austria",23.992673992674,15.7626693631282,354912.53,0.00953756126896957,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"AUT","Austria","Fishing and aquaculture",2021,33.19,"EUR","Austria",-1.94977843426884,15.7626693631282,362447.11,0.00915719813575007,0.00545501144099712,254817.165714286,15.3442857142857,214.82,"Fishing"
"BEL","Belgium","Fishing and aquaculture",1996,55.4,"EUR","Belgium",NA,0.0387752720001722,192228.5,0.0288198680216513,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",1998,69,"EUR","Belgium",24.5487364620939,0.0387752720001722,208114.5,0.0331548258290508,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2000,59.2,"EUR","Belgium",-14.2028985507246,0.0387752720001722,228625.4,0.025893885806214,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2002,61.5,"EUR","Belgium",3.88513513513513,0.0387752720001722,244560.7,0.0251471311621205,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2004,55.4,"EUR","Belgium",-9.91869918699187,0.0387752720001722,264845.4,0.0209178637801525,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2006,56.3,"EUR","Belgium",1.62454873646209,0.0387752720001722,290022.6,0.019412280284364,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2008,41.5,"EUR","Belgium",-26.2877442273535,0.0387752720001722,313984,0.0132172339991847,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2010,42.8,"EUR","Belgium",3.13253012048192,0.0387752720001722,324347,0.0131957440642275,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2012,41.2,"EUR","Belgium",-3.73831775700933,0.0387752720001722,345068.6,0.0119396548976059,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2014,48.7,"EUR","Belgium",18.2038834951456,0.0387752720001722,360582.4,0.0135059281872881,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2016,68,"EUR","Belgium",39.6303901437372,0.0387752720001722,384032.7,0.0177068254864755,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
"BEL","Belgium","Fishing and aquaculture",2018,47.4,"EUR","Belgium",-30.2941176470588,0.0387752720001722,410200.8,0.0115553163231276,0.0188634770621131,306171.807692308,53.1461538461538,690.9,"Fishing"
