"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"65","LVA","Latvia","B","Mining and quarrying",1999,7.381,"A","Normal value","EUR","Euro"
"66","LVA","Latvia","B","Mining and quarrying",2005,34.123,"A","Normal value","EUR","Euro"
"67","LVA","Latvia","B","Mining and quarrying",2011,83.445,"A","Normal value","EUR","Euro"
"68","LVA","Latvia","B","Mining and quarrying",2017,118.421,"A","Normal value","EUR","Euro"
"69","DNK","Denmark","B","Mining and quarrying",1967,243,"A","Normal value","DKK","Danish krone"
"70","DNK","Denmark","B","Mining and quarrying",1973,386,"A","Normal value","DKK","Danish krone"
"71","DNK","Denmark","B","Mining and quarrying",1979,911,"A","Normal value","DKK","Danish krone"
"72","DNK","Denmark","B","Mining and quarrying",1985,7194,"A","Normal value","DKK","Danish krone"
"73","DNK","Denmark","B","Mining and quarrying",1991,7575,"A","Normal value","DKK","Danish krone"
"74","DNK","Denmark","B","Mining and quarrying",1997,13565,"A","Normal value","DKK","Danish krone"
"75","DNK","Denmark","B","Mining and quarrying",2003,29268,"A","Normal value","DKK","Danish krone"
"76","DNK","Denmark","B","Mining and quarrying",2009,41413,"A","Normal value","DKK","Danish krone"
"77","DNK","Denmark","B","Mining and quarrying",2015,23424,"A","Normal value","DKK","Danish krone"
"78","KOR","Korea","B","Mining and quarrying",1970,41500,"A","Normal value","KRW","Won"
"79","KOR","Korea","B","Mining and quarrying",1976,156600,"A","Normal value","KRW","Won"
"80","KOR","Korea","B","Mining and quarrying",1982,687800,"A","Normal value","KRW","Won"
"81","KOR","Korea","B","Mining and quarrying",1988,1130000,"A","Normal value","KRW","Won"
"82","KOR","Korea","B","Mining and quarrying",1994,1685700,"A","Normal value","KRW","Won"
"83","KOR","Korea","B","Mining and quarrying",2000,1602100,"A","Normal value","KRW","Won"
"84","KOR","Korea","B","Mining and quarrying",2006,1786200,"A","Normal value","KRW","Won"
"85","KOR","Korea","B","Mining and quarrying",2012,1911700,"A","Normal value","KRW","Won"
"86","KOR","Korea","B","Mining and quarrying",2018,2128200,"A","Normal value","KRW","Won"
"87","USA","United States","B09","Mining support service activities",1998,13577.265,"A","Normal value","USD","US dollar"
"88","USA","United States","B09","Mining support service activities",2004,19839.795,"A","Normal value","USD","US dollar"
"89","USA","United States","B09","Mining support service activities",2010,47422.075,"A","Normal value","USD","US dollar"
