"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"271","SRB","Serbia","B","Mining and quarrying",2019,104390.2,"A","Normal value","RSD","Serbian dinar"
"272","USA","United States","B06","Extraction of crude petroleum and natural gas",2000,63745.17,"A","Normal value","USD","US dollar"
"273","USA","United States","B06","Extraction of crude petroleum and natural gas",2006,169812.53,"A","Normal value","USD","US dollar"
"274","USA","United States","B06","Extraction of crude petroleum and natural gas",2012,210886.213,"A","Normal value","USD","US dollar"
"275","USA","United States","B06","Extraction of crude petroleum and natural gas",2018,193998.656,"A","Normal value","USD","US dollar"
"276","ROU","Romania","B","Mining and quarrying",1996,273.6,"A","Normal value","RON","Romanian leu"
"277","ROU","Romania","B","Mining and quarrying",2002,2763,"A","Normal value","RON","Romanian leu"
"278","ROU","Romania","B","Mining and quarrying",2008,5227.1,"A","Normal value","RON","Romanian leu"
"279","ROU","Romania","B","Mining and quarrying",2014,5421.1,"A","Normal value","RON","Romanian leu"
"280","ROU","Romania","B","Mining and quarrying",2020,8853.9,"A","Normal value","RON","Romanian leu"
"281","IRL","Ireland","B","Mining and quarrying",1998,394.508,"A","Normal value","EUR","Euro"
"282","IRL","Ireland","B","Mining and quarrying",2004,456.034,"A","Normal value","EUR","Euro"
"283","IRL","Ireland","B","Mining and quarrying",2010,686.965,"A","Normal value","EUR","Euro"
"284","IRL","Ireland","B","Mining and quarrying",2016,536.612,"A","Normal value","EUR","Euro"
"285","DEU","Germany","B","Mining and quarrying",1996,5718,"A","Normal value","EUR","Euro"
"286","DEU","Germany","B","Mining and quarrying",2002,4418,"A","Normal value","EUR","Euro"
"287","DEU","Germany","B","Mining and quarrying",2008,6342,"A","Normal value","EUR","Euro"
"288","DEU","Germany","B","Mining and quarrying",2014,4901,"A","Normal value","EUR","Euro"
"289","DEU","Germany","B","Mining and quarrying",2020,4371,"P","Provisional value","EUR","Euro"
"290","ROU","Romania","B06","Extraction of crude petroleum and natural gas",1997,304.2,"A","Normal value","RON","Romanian leu"
"291","ROU","Romania","B06","Extraction of crude petroleum and natural gas",2003,754,"A","Normal value","RON","Romanian leu"
"292","ROU","Romania","B06","Extraction of crude petroleum and natural gas",2009,2559.6,"A","Normal value","RON","Romanian leu"
"293","ROU","Romania","B06","Extraction of crude petroleum and natural gas",2015,4587.7,"A","Normal value","RON","Romanian leu"
"294","ROU","Romania","B06","Extraction of crude petroleum and natural gas",2021,4923.1,"A","Normal value","RON","Romanian leu"
"295","GBR","United Kingdom","B","Mining and quarrying",1996,20118,"A","Normal value","GBP","Pound sterling"
"296","GBR","United Kingdom","B","Mining and quarrying",2002,18227,"A","Normal value","GBP","Pound sterling"
"297","GBR","United Kingdom","B","Mining and quarrying",2008,29411,"A","Normal value","GBP","Pound sterling"
"298","GBR","United Kingdom","B","Mining and quarrying",2014,19622,"A","Normal value","GBP","Pound sterling"
"299","GBR","United Kingdom","B","Mining and quarrying",2020,14529,"A","Normal value","GBP","Pound sterling"
"300","TUR","Türkiye","B","Mining and quarrying",1999,888.819,"A","Normal value","TRY","Turkish lira"
"301","TUR","Türkiye","B","Mining and quarrying",2005,6600.035,"A","Normal value","TRY","Turkish lira"
"302","TUR","Türkiye","B","Mining and quarrying",2011,15755.858,"A","Normal value","TRY","Turkish lira"
"303","TUR","Türkiye","B","Mining and quarrying",2017,28159.268,"A","Normal value","TRY","Turkish lira"
"304","CPV","Cabo Verde","B","Mining and quarrying",2007,625.459,"A","Normal value","CVE","Cape Verde escudo"
"305","CPV","Cabo Verde","B","Mining and quarrying",2013,560.927,"A","Normal value","CVE","Cape Verde escudo"
"306","CPV","Cabo Verde","B","Mining and quarrying",2019,614.927,"A","Normal value","CVE","Cape Verde escudo"
"307","CRI","Costa Rica","B07","Mining of metal ores",1991,0,"A","Normal value","CRC","Costa Rican colon"
"308","CRI","Costa Rica","B07","Mining of metal ores",1997,0,"A","Normal value","CRC","Costa Rican colon"
"309","CRI","Costa Rica","B07","Mining of metal ores",2003,0,"A","Normal value","CRC","Costa Rican colon"
"310","CRI","Costa Rica","B07","Mining of metal ores",2009,0,"A","Normal value","CRC","Costa Rican colon"
"311","CRI","Costa Rica","B07","Mining of metal ores",2015,0,"A","Normal value","CRC","Costa Rican colon"
"312","CRI","Costa Rica","B07","Mining of metal ores",2021,0,"E","Estimated value","CRC","Costa Rican colon"
"313","AUT","Austria","B","Mining and quarrying",1999,650.21,"A","Normal value","EUR","Euro"
"314","AUT","Austria","B","Mining and quarrying",2005,986.35,"A","Normal value","EUR","Euro"
"315","AUT","Austria","B","Mining and quarrying",2011,1498.06,"A","Normal value","EUR","Euro"
"316","AUT","Austria","B","Mining and quarrying",2017,1188,"A","Normal value","EUR","Euro"
