"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ZAF","South Africa","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2019","2019","ZAR","Rand","0","Units",,,6.833473,,
"ZAF","South Africa","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2020","2020","ZAR","Rand","0","Units",,,6.966888,,
"ZAF","South Africa","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2021","2021","ZAR","Rand","0","Units",,,6.961153,,
"ZAF","South Africa","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2022","2022","ZAR","Rand","0","Units",,,6.899079,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","GBP","Pound Sterling","0","Units",,,0.704522,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","GBP","Pound Sterling","0","Units",,,0.694477,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","GBP","Pound Sterling","0","Units",,,0.689877,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","GBP","Pound Sterling","0","Units",,,0.69584,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","GBP","Pound Sterling","0","Units",,,0.68782,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","GBP","Pound Sterling","0","Units",,,0.707619,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","GBP","Pound Sterling","0","Units",,,0.696492,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","GBP","Pound Sterling","0","Units",,,0.709077,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","GBP","Pound Sterling","0","Units",,,0.701691,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","GBP","Pound Sterling","0","Units",,,0.710094,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","GBP","Pound Sterling","0","Units",,,0.702364,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","GBP","Pound Sterling","0","Units",,,0.706052,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","GBP","Pound Sterling","0","Units",,,0.701634,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","GBP","Pound Sterling","0","Units",,,0.695248,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","GBP","Pound Sterling","0","Units",,,0.698444,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","GBP","Pound Sterling","0","Units",,,0.692551,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","GBP","Pound Sterling","0","Units",,,0.688603,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2017","2017","GBP","Pound Sterling","0","Units",,,0.684601,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2018","2018","GBP","Pound Sterling","0","Units",,,0.687714,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2019","2019","GBP","Pound Sterling","0","Units",,,0.669665,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2020","2020","GBP","Pound Sterling","0","Units",,,0.653446,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2021","2021","GBP","Pound Sterling","0","Units",,,0.644896,,
"GBR","United Kingdom","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2022","2022","GBP","Pound Sterling","0","Units",,,0.651256,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.074691,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.134687,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,0.953562,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.791766,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.73416,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.847673,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.759301,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.679302,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.718546,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.694155,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.748391,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.772857,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.75792,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.725111,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.823655,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.918527,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.948677,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.83382,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.873362,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.890155,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.81493,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.882924,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.937559,,
"DEU","Germany","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2023","2023","EUR","Euro","0","Units",,,0.904977,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","INR","Indian Rupee","0","Units",,,44.941605,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","INR","Indian Rupee","0","Units",,,47.186414,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","INR","Indian Rupee","0","Units",,,48.610319,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","INR","Indian Rupee","0","Units",,,46.583284,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","INR","Indian Rupee","0","Units",,,45.316467,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","INR","Indian Rupee","0","Units",,,44.099975,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","INR","Indian Rupee","0","Units",,,45.307008,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","INR","Indian Rupee","0","Units",,,41.348533,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","INR","Indian Rupee","0","Units",,,43.505183,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","INR","Indian Rupee","0","Units",,,48.405267,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","INR","Indian Rupee","0","Units",,,45.725812,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","INR","Indian Rupee","0","Units",,,46.670467,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","INR","Indian Rupee","0","Units",,,53.437233,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","INR","Indian Rupee","0","Units",,,58.597845,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","INR","Indian Rupee","0","Units",,,61.029514,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","INR","Indian Rupee","0","Units",,,64.151944,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","INR","Indian Rupee","0","Units",,,67.195313,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","INR","Indian Rupee","0","Units",,,65.121569,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","INR","Indian Rupee","0","Units",,,68.389467,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","INR","Indian Rupee","0","Units",,,70.420341,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","INR","Indian Rupee","0","Units",,,74.099567,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","INR","Indian Rupee","0","Units",,,73.918013,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","INR","Indian Rupee","0","Units",,,78.604491,,
"IND","India","EXC","Exchange rates, period-average","CD","National currency per US dollar","2023","2023","INR","Indian Rupee","0","Units",,,82.600996,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,0.935408,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,0.911349,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,0.905547,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.939368,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.943172,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.92913,,
