"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"57","DEU","Germany","A","Agriculture, forestry and fishing",2008,21348,"A","Normal value","EUR","Euro"
"58","DEU","Germany","A","Agriculture, forestry and fishing",2010,20610,"A","Normal value","EUR","Euro"
"59","DEU","Germany","A","Agriculture, forestry and fishing",2012,23278,"A","Normal value","EUR","Euro"
"60","DEU","Germany","A","Agriculture, forestry and fishing",2014,26480,"A","Normal value","EUR","Euro"
"61","DEU","Germany","A","Agriculture, forestry and fishing",2016,21894,"A","Normal value","EUR","Euro"
"62","DEU","Germany","A","Agriculture, forestry and fishing",2018,23191,"A","Normal value","EUR","Euro"
"63","DEU","Germany","A","Agriculture, forestry and fishing",2020,25152,"P","Provisional value","EUR","Euro"
"64","DEU","Germany","A","Agriculture, forestry and fishing",2022,35673,"P","Provisional value","EUR","Euro"
"65","CHE","Switzerland","A","Agriculture, forestry and fishing",1995,5836.095,"A","Normal value","CHF","Swiss franc"
"66","CHE","Switzerland","A","Agriculture, forestry and fishing",1997,5327.246,"A","Normal value","CHF","Swiss franc"
"67","CHE","Switzerland","A","Agriculture, forestry and fishing",1999,4887.897,"A","Normal value","CHF","Swiss franc"
"68","CHE","Switzerland","A","Agriculture, forestry and fishing",2001,4453.929,"A","Normal value","CHF","Swiss franc"
"69","CHE","Switzerland","A","Agriculture, forestry and fishing",2003,4081.227,"A","Normal value","CHF","Swiss franc"
"70","CHE","Switzerland","A","Agriculture, forestry and fishing",2005,4263.765,"A","Normal value","CHF","Swiss franc"
"71","CHE","Switzerland","A","Agriculture, forestry and fishing",2007,4554.586,"A","Normal value","CHF","Swiss franc"
"72","CHE","Switzerland","A","Agriculture, forestry and fishing",2009,4357.003,"A","Normal value","CHF","Swiss franc"
"73","CHE","Switzerland","A","Agriculture, forestry and fishing",2011,4302.043,"A","Normal value","CHF","Swiss franc"
"74","CHE","Switzerland","A","Agriculture, forestry and fishing",2013,4337.023,"A","Normal value","CHF","Swiss franc"
"75","CHE","Switzerland","A","Agriculture, forestry and fishing",2015,4184.701,"A","Normal value","CHF","Swiss franc"
"76","CHE","Switzerland","A","Agriculture, forestry and fishing",2017,4321.847,"A","Normal value","CHF","Swiss franc"
"77","CHE","Switzerland","A","Agriculture, forestry and fishing",2019,4643.549,"A","Normal value","CHF","Swiss franc"
"78","CHE","Switzerland","A","Agriculture, forestry and fishing",2021,4652.745,"P","Provisional value","CHF","Swiss franc"
"79","DEU","Germany","A03","Fishing and aquaculture",1996,161,"A","Normal value","EUR","Euro"
"80","DEU","Germany","A03","Fishing and aquaculture",1998,181,"A","Normal value","EUR","Euro"
"81","DEU","Germany","A03","Fishing and aquaculture",2000,190,"A","Normal value","EUR","Euro"
"82","DEU","Germany","A03","Fishing and aquaculture",2002,192,"A","Normal value","EUR","Euro"
"83","DEU","Germany","A03","Fishing and aquaculture",2004,186,"A","Normal value","EUR","Euro"
"84","DEU","Germany","A03","Fishing and aquaculture",2006,209,"A","Normal value","EUR","Euro"
"85","DEU","Germany","A03","Fishing and aquaculture",2008,207,"A","Normal value","EUR","Euro"
"86","DEU","Germany","A03","Fishing and aquaculture",2010,209,"A","Normal value","EUR","Euro"
"87","DEU","Germany","A03","Fishing and aquaculture",2012,212,"A","Normal value","EUR","Euro"
"88","DEU","Germany","A03","Fishing and aquaculture",2014,228,"A","Normal value","EUR","Euro"
"89","DEU","Germany","A03","Fishing and aquaculture",2016,251,"A","Normal value","EUR","Euro"
"90","DEU","Germany","A03","Fishing and aquaculture",2018,191,"A","Normal value","EUR","Euro"
"91","DEU","Germany","A03","Fishing and aquaculture",2020,147,"P","Provisional value","EUR","Euro"
"92","BEL","Belgium","A03","Fishing and aquaculture",1996,55.4,"A","Normal value","EUR","Euro"
"93","BEL","Belgium","A03","Fishing and aquaculture",1998,69,"A","Normal value","EUR","Euro"
"94","BEL","Belgium","A03","Fishing and aquaculture",2000,59.2,"A","Normal value","EUR","Euro"
"95","BEL","Belgium","A03","Fishing and aquaculture",2002,61.5,"A","Normal value","EUR","Euro"
"96","BEL","Belgium","A03","Fishing and aquaculture",2004,55.4,"A","Normal value","EUR","Euro"
"97","BEL","Belgium","A03","Fishing and aquaculture",2006,56.3,"A","Normal value","EUR","Euro"
"98","BEL","Belgium","A03","Fishing and aquaculture",2008,41.5,"A","Normal value","EUR","Euro"
"99","BEL","Belgium","A03","Fishing and aquaculture",2010,42.8,"A","Normal value","EUR","Euro"
"100","BEL","Belgium","A03","Fishing and aquaculture",2012,41.2,"A","Normal value","EUR","Euro"
"101","BEL","Belgium","A03","Fishing and aquaculture",2014,48.7,"A","Normal value","EUR","Euro"
"102","BEL","Belgium","A03","Fishing and aquaculture",2016,68,"A","Normal value","EUR","Euro"
"103","BEL","Belgium","A03","Fishing and aquaculture",2018,47.4,"A","Normal value","EUR","Euro"
"104","BEL","Belgium","A03","Fishing and aquaculture",2020,44.5,"A","Normal value","EUR","Euro"
"105","ROU","Romania","A","Agriculture, forestry and fishing",1996,1997.3,"A","Normal value","RON","Romanian leu"
"106","ROU","Romania","A","Agriculture, forestry and fishing",1998,5321.5,"A","Normal value","RON","Romanian leu"
"107","ROU","Romania","A","Agriculture, forestry and fishing",2000,8777.9,"A","Normal value","RON","Romanian leu"
"108","ROU","Romania","A","Agriculture, forestry and fishing",2002,17271.3,"A","Normal value","RON","Romanian leu"
"109","ROU","Romania","A","Agriculture, forestry and fishing",2004,31088.9,"A","Normal value","RON","Romanian leu"
"110","ROU","Romania","A","Agriculture, forestry and fishing",2006,26806.8,"A","Normal value","RON","Romanian leu"
"111","ROU","Romania","A","Agriculture, forestry and fishing",2008,34019.8,"A","Normal value","RON","Romanian leu"
"112","ROU","Romania","A","Agriculture, forestry and fishing",2010,27980.3,"A","Normal value","RON","Romanian leu"
"113","ROU","Romania","A","Agriculture, forestry and fishing",2012,28208.1,"A","Normal value","RON","Romanian leu"
"114","ROU","Romania","A","Agriculture, forestry and fishing",2014,33099.7,"A","Normal value","RON","Romanian leu"
"115","ROU","Romania","A","Agriculture, forestry and fishing",2016,32282.7,"A","Normal value","RON","Romanian leu"
"116","ROU","Romania","A","Agriculture, forestry and fishing",2018,43776.8,"A","Normal value","RON","Romanian leu"
"117","ROU","Romania","A","Agriculture, forestry and fishing",2020,44579.2,"A","Normal value","RON","Romanian leu"
"118","ROU","Romania","A","Agriculture, forestry and fishing",2022,53184.8,"P","Provisional value","RON","Romanian leu"
"119","RUS","Russia","A03","Fishing and aquaculture",2012,107856.8,"A","Normal value","RUB","Russian ruble"
"120","RUS","Russia","A03","Fishing and aquaculture",2014,136378.7,"A","Normal value","RUB","Russian ruble"
"121","RUS","Russia","A03","Fishing and aquaculture",2016,224761.2,"A","Normal value","RUB","Russian ruble"
"122","RUS","Russia","A03","Fishing and aquaculture",2018,273254.8,"A","Normal value","RUB","Russian ruble"
"123","RUS","Russia","A03","Fishing and aquaculture",2020,324104.6,"A","Normal value","RUB","Russian ruble"
